shape_id,shape_pt_lat,shape_pt_sequence,shape_pt_lon,shape_dist_traveled
001_1,35.9027,432,10.583239,8.36
001_1,35.9026,433,10.583322,8.37
001_1,35.902412,434,10.583474,8.39
001_1,35.902325,435,10.583551,8.4
001_1,35.902145,436,10.583705,8.42
001_1,35.901985,437,10.583852,8.44
001_1,35.901913,438,10.583919,8.45
001_1,35.901848,439,10.58398,8.46
001_1,35.90173,440,10.58408,8.48
001_1,35.901615,441,10.584181,8.5
001_1,35.90156,442,10.584232,8.51
001_1,35.90147,443,10.5843315,8.52
001_1,35.901356,444,10.5844555,8.54
001_1,35.901283,445,10.584527,8.55
001_1,35.901146,446,10.584664,8.57
001_1,35.900898,447,10.58486,8.6
001_1,35.900856,448,10.584882,8.61
001_1,35.900814,449,10.5849085,8.62
001_1,35.90071,450,10.584978,8.63
001_1,35.90064,451,10.585018,8.64
001_1,35.90056,452,10.585065,8.65
001_1,35.900475,453,10.585124,8.66
001_1,35.90031,454,10.585278,8.68
001_1,35.900227,455,10.585359,8.69
001_1,35.900066,456,10.585528,8.71
001_1,35.899895,457,10.585709,8.74
001_1,35.89971,458,10.585906,8.77
001_1,35.89952,459,10.586104,8.8
001_1,35.89933,460,10.586289,8.83
001_1,35.899235,461,10.586374,8.84
001_1,35.899048,462,10.586537,8.87
001_1,35.89895,463,10.586623,8.88
001_1,35.898773,464,10.5868025,8.91
001_1,35.898685,465,10.586886,8.92
001_1,35.898514,466,10.587042,8.94
001_1,35.898426,467,10.587123,8.95
001_1,35.89825,468,10.587283,8.97
001_1,35.898163,469,10.587365,8.98
001_1,35.897987,470,10.58752,9
001_1,35.8979,471,10.587592,9.01
001_1,35.89781,472,10.5876665,9.02
001_1,35.897648,473,10.587825,9.04
001_1,35.897514,474,10.588004,9.06
001_1,35.89745,475,10.588097,9.07
001_1,35.897312,476,10.58826,9.09
001_1,35.897152,477,10.588401,9.11
001_1,35.89698,478,10.588558,9.13
001_1,35.896828,479,10.588742,9.15
001_1,35.896755,480,10.588835,9.16
001_1,35.896626,481,10.589009,9.18
001_1,35.896423,482,10.5892515,9.21
001_1,35.896427,483,10.58917,9.22
001_1,35.896374,484,10.589215,9.23
001_1,35.89628,485,10.589329,9.24
001_1,35.896214,486,10.5893955,9.25
001_1,35.896145,487,10.589466,9.26
001_1,35.89599,488,10.589632,9.28
001_1,35.895897,489,10.589718,9.29
001_1,35.8958,490,10.5898075,9.3
001_1,35.89562,491,10.589992,9.33
001_1,35.89542,492,10.590169,9.36
001_1,35.895317,493,10.590251,9.37
001_1,35.89521,494,10.590335,9.38
001_1,35.89511,495,10.590422,9.39
001_1,35.8949,496,10.5906,9.42
001_1,35.89468,497,10.5907955,9.45
001_1,35.894463,498,10.590996,9.48
001_1,35.89435,499,10.591097,9.5
001_1,35.894234,500,10.591198,9.52
001_1,35.894,501,10.591393,9.55
001_1,35.893772,502,10.591586,9.58
001_1,35.893665,503,10.591696,9.6
001_1,35.89356,504,10.591811,9.62
001_1,35.893467,505,10.591943,9.64
001_1,35.89338,506,10.592078,9.66
001_1,35.8932,507,10.592333,9.69
001_1,35.893017,508,10.592579,9.72
001_1,35.89292,509,10.592701,9.74
001_1,35.892723,510,10.592934,9.77
001_1,35.892628,511,10.59304,9.78
001_1,35.89244,512,10.593226,9.81
001_1,35.89226,513,10.593404,9.84
001_1,35.892063,514,10.593593,9.87
001_1,35.891865,515,10.593779,9.9
001_1,35.891758,516,10.593871,9.91
001_1,35.891644,517,10.593969,9.93
001_1,35.891224,518,10.5943575,9.99
001_1,35.891125,519,10.594452,10
001_1,35.89107,520,10.594511,10.01
001_1,35.891026,521,10.594529,10.02
001_1,35.8909,522,10.594585,10.03
001_1,35.890755,523,10.594654,10.05
001_1,35.890686,524,10.594693,10.06
001_1,35.890575,525,10.594782,10.07
001_1,35.89053,526,10.594831,10.08
001_1,35.89047,527,10.594907,10.09
001_1,35.89043,528,10.594945,10.1
001_1,35.890385,529,10.594974,10.11
001_1,35.89028,530,10.594997,10.12
001_1,35.890232,531,10.594998,10.13
001_1,35.89013,532,10.595017,10.14
001_1,35.89007,533,10.59504,10.15
001_1,35.890007,534,10.595073,10.16
001_1,35.88986,535,10.595156,10.18
001_1,35.889767,536,10.595207,10.19
001_1,35.889565,537,10.595321,10.21
001_1,35.889347,538,10.595455,10.24
001_1,35.889126,539,10.595597,10.27
001_1,35.888905,540,10.595733,10.3
001_1,35.888702,541,10.595863,10.33
001_1,35.88851,542,10.595977,10.35
001_1,35.888332,543,10.5960865,10.37
001_1,35.88825,544,10.59614,10.38
001_1,35.888126,545,10.59622,10.4
001_1,35.888065,546,10.596308,10.41
001_1,35.887997,547,10.596327,10.42
001_1,35.887886,548,10.596362,10.43
001_1,35.88773,549,10.59642,10.45
001_1,35.887638,550,10.596465,10.46
001_1,35.88744,551,10.596572,10.48
001_1,35.88733,552,10.596628,10.49
001_1,35.88712,553,10.596736,10.52
001_1,35.886906,554,10.596828,10.55
001_1,35.886803,555,10.5968685,10.56
001_1,35.886707,556,10.596909,10.57
001_1,35.88653,557,10.596992,10.59
001_1,35.886368,558,10.5970745,10.61
001_1,35.886196,559,10.597155,10.63
001_1,35.88611,560,10.597196,10.64
001_1,35.88593,561,10.597284,10.66
001_1,35.88583,562,10.597338,10.67
001_1,35.885628,563,10.597449,10.69
001_1,35.885525,564,10.597504,10.7
001_1,35.885418,565,10.597558,10.71
001_1,35.885307,566,10.597615,10.72
001_1,35.8852,567,10.597675,10.73
001_1,35.884983,568,10.597805,10.76
001_1,35.884876,569,10.597874,10.77
001_1,35.88477,570,10.597941,10.78
001_1,35.884556,571,10.598067,10.81
001_1,35.884445,572,10.5981245,10.82
001_1,35.884228,573,10.598234,10.85
001_1,35.884125,574,10.598289,10.86
001_1,35.884014,575,10.598338,10.87
001_1,35.883793,576,10.598413,10.9
001_1,35.88368,577,10.598441,10.91
001_1,35.88346,578,10.598492,10.93
001_1,35.88335,579,10.598515,10.94
001_1,35.88324,580,10.598536,10.95
001_1,35.883026,581,10.598579,10.97
001_1,35.882812,582,10.598623,10.99
001_1,35.88271,583,10.598648,11
001_1,35.882504,584,10.5987015,11.02
001_1,35.8824,585,10.598727,11.03
001_1,35.882206,586,10.598777,11.05
001_1,35.882103,587,10.598804,11.06
001_1,35.881733,588,10.598915,11.1
001_1,35.88167,589,10.598922,11.11
001_1,35.881546,590,10.598933,11.12
001_1,35.88139,591,10.598944,11.14
001_1,35.8812,592,10.598954,11.16
001_1,35.881096,593,10.598963,11.17
001_1,35.880875,594,10.598987,11.19
001_1,35.880653,595,10.599024,11.21
001_1,35.880432,596,10.599072,11.23
001_1,35.880215,597,10.599122,11.25
001_1,35.88001,598,10.599169,11.27
001_1,35.879818,599,10.599221,11.29
001_1,35.879734,600,10.599265,11.3
001_1,35.8796,601,10.5994005,11.32
001_1,35.879547,602,10.599488,11.33
001_1,35.87944,603,10.599664,11.35
001_1,35.879307,604,10.599773,11.37
001_1,35.87923,605,10.599787,11.38
001_1,35.87909,606,10.599747,11.4
001_1,35.879013,607,10.599713,11.41
001_1,35.878937,608,10.599683,11.42
001_1,35.87879,609,10.599647,11.44
001_1,35.878723,610,10.599646,11.45
001_1,35.878647,611,10.599656,11.46
001_1,35.878475,612,10.599702,11.48
001_1,35.878284,613,10.599751,11.5
001_1,35.878075,614,10.599809,11.52
001_1,35.87785,615,10.599884,11.55
001_1,35.87762,616,10.599981,11.58
001_1,35.877506,617,10.600036,11.59
001_1,35.877388,618,10.600084,11.6
001_1,35.877155,619,10.60017,11.63
001_1,35.876923,620,10.600257,11.66
